segment,pickup_day,trips,avg_distance,avg_fare
airport,2023-10-31,2,13.745000000000001,54.7
manhattan,2023-10-31,22,2.735454545454545,16.36363636363636
airport,2023-11-01,4766,16.03073436844316,62.74420688208138
manhattan,2023-11-01,112019,2.2709661753809893,16.218466688686593
other,2023-11-01,5976,8.28293005354752,40.656106091030686
airport,2023-11-02,4752,16.303331228956242,64.18162037037042
manhattan,2023-11-02,113666,2.3572169338236613,16.824799236359162
other,2023-11-02,6118,8.348501144164782,40.737927427263855
airport,2023-11-03,4717,16.19299554801782,63.76506253974986
manhattan,2023-11-03,107118,2.3837750891540286,16.334083067271518
other,2023-11-03,6778,8.381136028326939,40.84911920920634
airport,2023-11-04,3911,15.876440807977458,62.029158782919936
manhattan,2023-11-04,111093,2.3469255488644833,16.29725473252163
other,2023-11-04,4149,7.3377151120752,36.29902868161004
airport,2023-11-05,5344,16.011272455089824,61.64086077844303
manhattan,2023-11-05,91788,2.5534123196932064,16.311229027759683
other,2023-11-05,5920,8.2038412162162,38.34520270270266
airport,2023-11-06,5351,15.886705288731058,62.73860960568122
manhattan,2023-11-06,87412,2.515382098567703,16.5926359081133
other,2023-11-06,6416,8.454950124688278,40.060199501246856
airport,2023-11-07,4489,15.605368678993123,61.02712853642246
manhattan,2023-11-07,98978,2.3224747923780935,16.021934268221507
other,2023-11-07,5988,8.59693887775548,39.91755511022035
airport,2023-11-08,4444,15.750171017101685,62.158514851485215
manhattan,2023-11-08,110033,2.3229351194641534,16.612059291303456
other,2023-11-08,6160,8.293214285714274,40.89673214285712
airport,2023-11-09,4807,16.10652173913042,63.38161015186185
manhattan,2023-11-09,113520,2.39310209654686,17.276582716702126
other,2023-11-09,6996,8.605065751858207,42.1938622069753
airport,2023-11-10,4973,16.114610898853787,63.377613110798265
manhattan,2023-11-10,110362,2.329127870100225,16.238409325673732
other,2023-11-10,6426,8.508485838779933,40.85080143168385
airport,2023-11-11,4248,15.936035781544232,61.9117208097928
manhattan,2023-11-11,111728,2.289730058714002,16.294466561649692
other,2023-11-11,4377,7.223934201507883,36.67946538725153
airport,2023-11-12,6037,16.13189166804704,62.52463143945654
manhattan,2023-11-12,92498,2.5202771951825857,16.022560163462867
other,2023-11-12,6274,8.145079693975136,37.23766337264897
airport,2023-11-13,5778,16.0348909657321,63.11742298373136
manhattan,2023-11-13,87065,2.3634635042784202,15.649784528800335
other,2023-11-13,6708,8.523214072748937,39.26912939773405
airport,2023-11-14,4901,15.665915119363381,61.679185880432506
manhattan,2023-11-14,103199,2.2789157840676757,16.041277531759125
other,2023-11-14,6203,8.584091568595873,40.751083346767686
airport,2023-11-15,4544,15.81224251760567,62.49966549295772
manhattan,2023-11-15,110013,2.3057474116695387,16.653818821412035
other,2023-11-15,6412,8.521425452276969,40.83225358702428
airport,2023-11-16,4784,15.852594063545169,62.76355351170569
manhattan,2023-11-16,115695,2.3892241669907937,16.62380007779093
other,2023-11-16,6663,8.450475761668912,41.43783580969537
airport,2023-11-17,4894,16.079350224765026,63.60160400490394
manhattan,2023-11-17,107065,2.400894129734292,16.706421146032863
other,2023-11-17,6028,8.227543132050423,40.743219973457144
airport,2023-11-18,4285,16.067820303383904,62.94027537922989
manhattan,2023-11-18,114601,2.3212548756119165,15.731490562909567
other,2023-11-18,4204,7.32921979067555,35.8662821122741
airport,2023-11-19,4635,15.774500539374303,61.315814455231944
manhattan,2023-11-19,85766,2.5733444488491948,15.797270829932643
other,2023-11-19,5164,8.007513555383424,36.94821262587143
airport,2023-11-20,4508,15.553522626441852,61.36330967169472
manhattan,2023-11-20,86265,2.303679823798772,15.827874340694365
other,2023-11-20,5178,8.135169949787556,39.39412321359596
airport,2023-11-21,4297,15.600167558761926,62.57416802420295
manhattan,2023-11-21,98888,2.138806326349,16.94910009303464
other,2023-11-21,5329,8.089483955714037,40.56179208106601
airport,2023-11-22,4145,15.813054282267796,62.76763811821472
manhattan,2023-11-22,79753,2.265814075959535,16.052871616114885
other,2023-11-22,4995,8.268522522522563,40.433739739739714
airport,2023-11-23,2845,15.716702987697728,60.82282249560628
manhattan,2023-11-23,56675,2.4323968239964704,15.323932421702635
other,2023-11-23,2636,6.899457511380885,35.023201820940834
airport,2023-11-24,3584,15.612036830357154,60.75890066964288
manhattan,2023-11-24,67337,2.3105234863448048,15.08226532218559
other,2023-11-24,4006,7.959171243135293,36.76166999500751
airport,2023-11-25,5398,15.992254538718038,61.91123934790658
manhattan,2023-11-25,74731,2.4143459876088906,15.879554803227533
other,2023-11-25,5098,8.308018830914106,37.23005100039226
airport,2023-11-26,6597,16.37792178262846,63.32423071092926
manhattan,2023-11-26,67755,2.4509264260939965,15.585225149435537
other,2023-11-26,7107,8.568540875193493,38.80836499226117
airport,2023-11-27,6969,15.854347826086974,62.32395752618738
manhattan,2023-11-27,78153,2.324229012321974,15.287670850767222
other,2023-11-27,8039,8.690145540490118,39.781082224157075
airport,2023-11-28,5830,15.82675986277873,62.17773070325893
manhattan,2023-11-28,103371,2.1820307436321618,15.797000996411038
other,2023-11-28,7325,8.674253924914677,41.21000955631394
airport,2023-11-29,4496,15.899108096085422,62.45995996441274
manhattan,2023-11-29,100478,2.241894942176402,17.059207687254986
other,2023-11-29,6507,8.566954049485169,42.88722452743202
airport,2023-11-30,4701,16.00956817698362,63.095594554350164
manhattan,2023-11-30,109275,2.348494074582467,17.20672267215739
other,2023-11-30,7147,8.750092346439066,43.649332587099465
airport,2023-12-01,4894,16.1975847977115,63.79641397629763
manhattan,2023-12-01,113570,2.274271110328416,16.65688060227198
other,2023-12-01,6460,8.571753869969026,42.60479721362227
airport,2023-12-02,4080,15.951892156862785,62.019164215686224
manhattan,2023-12-02,110957,2.347119875267031,16.690540299395405
other,2023-12-02,3858,7.6887921202695715,37.38404613789524
airport,2023-12-03,5482,15.945497993433044,62.1052261948193
manhattan,2023-12-03,91310,2.578891140072305,16.155458219253127
other,2023-12-03,5777,8.435859442617264,38.51185044140555
airport,2023-12-04,5105,15.963651322233085,62.483943192948075
manhattan,2023-12-04,87572,2.4544982414470313,16.318116521262485
other,2023-12-04,6341,8.78308626399622,41.346615675760866
airport,2023-12-05,4212,15.772867996201342,61.93746438746439
manhattan,2023-12-05,106774,2.317542379230899,16.59893991046505
other,2023-12-05,6344,8.835029949558637,43.7462389659521
airport,2023-12-06,4441,16.05420625985137,62.95319522630041
manhattan,2023-12-06,115270,2.339964084323759,16.89968153032015
other,2023-12-06,6132,8.699388454011723,42.23109262883236
airport,2023-12-07,4778,16.36438049393052,64.051588530766
manhattan,2023-12-07,119611,2.3740504635861313,17.27980319535805
other,2023-12-07,7116,8.750657672849913,44.19349353569418
airport,2023-12-08,4581,16.387566033617144,64.09180309975989
manhattan,2023-12-08,116930,2.3629514239288385,16.71431061318745
other,2023-12-08,7211,8.55893634724726,41.86176535848009
airport,2023-12-09,4089,15.863387136219131,62.11221325507459
manhattan,2023-12-09,122889,2.3339276094687196,17.029950687205506
other,2023-12-09,4438,7.6121744028841904,37.739824245155496
airport,2023-12-10,4797,16.066524911402947,62.51786324786321
manhattan,2023-12-10,97125,2.5515835263835225,16.451787593307657
other,2023-12-10,6559,8.006188443360282,37.063652995883565
airport,2023-12-11,5342,15.74199925121675,61.67669225009358
manhattan,2023-12-11,95310,2.3515785332074293,16.014671702864383
other,2023-12-11,6489,8.537147480351383,40.916796116504955
airport,2023-12-12,4169,15.611081794195215,61.623641160949944
manhattan,2023-12-12,112093,2.3216411372699732,16.940767755346023
other,2023-12-12,6913,8.517925647331133,42.487679733834845
airport,2023-12-13,4107,15.882230338446528,62.61261504747993
manhattan,2023-12-13,121630,2.3589966291210964,16.960012907999506
other,2023-12-13,6813,8.465744899456922,42.0137501834727
airport,2023-12-14,4399,16.280225051148015,64.26320300068198
manhattan,2023-12-14,128805,2.3963710259694913,17.921239237607196
other,2023-12-14,7574,8.229677845260104,42.884409823078975
airport,2023-12-15,4742,16.236722901729237,64.01222690847746
manhattan,2023-12-15,125674,2.411874771233522,16.919139599280996
other,2023-12-15,7112,8.122193475815525,41.625077334083215
airport,2023-12-16,4026,16.167573273720834,63.19336065573773
manhattan,2023-12-16,123961,2.3752714160098725,17.065309250489822
other,2023-12-16,4736,7.259911317567582,36.534871199324414
airport,2023-12-17,4406,15.64233091239219,60.82580571947346
manhattan,2023-12-17,94262,2.574685451189228,16.193578960768825
other,2023-12-17,5412,8.03235957132298,37.324283074648946
airport,2023-12-18,4302,15.362591817759215,60.251792189679236
manhattan,2023-12-18,89007,2.3498538317211115,15.769891244508898
other,2023-12-18,5367,8.078108813117202,38.24269610583195
airport,2023-12-19,3871,15.406750193748394,61.311490570911836
manhattan,2023-12-19,109436,2.3056004422676124,16.314427702036067
other,2023-12-19,5306,8.148545043347134,39.56376743309459
airport,2023-12-20,3754,15.634744272775725,62.84947256259994
manhattan,2023-12-20,106537,2.3451174709255986,16.487406722547288
other,2023-12-20,4902,7.973863729090169,39.284139126886984
airport,2023-12-21,3963,15.980704012112021,63.44741862225577
manhattan,2023-12-21,104967,2.331763411357857,16.46611535053875
other,2023-12-21,4654,8.16569617533305,39.99839063171473
airport,2023-12-22,4114,16.20290471560525,63.77345649003407
manhattan,2023-12-22,98728,2.3114048699457133,15.831945446073988
other,2023-12-22,4746,7.615889169827225,37.83004424778756
airport,2023-12-23,3656,16.08419310722095,62.7424726477024
manhattan,2023-12-23,73304,2.407544472334387,15.873393675652212
other,2023-12-23,3218,7.596267868241149,36.02464574269732
airport,2023-12-24,2752,15.364854651162789,60.06424055232561
manhattan,2023-12-24,57603,2.4338897279655485,15.03681301321109
other,2023-12-24,2644,7.170979576399402,33.551221633888034
airport,2023-12-25,2886,15.590135135135156,60.28704781704775
manhattan,2023-12-25,37240,2.7022763157894722,16.23530048335132
other,2023-12-25,3320,7.803475903614456,35.25495783132526
airport,2023-12-26,4567,15.946240420407266,62.2827742500547
manhattan,2023-12-26,56454,2.4783606121798387,16.188932759414865
other,2023-12-26,4647,8.344146761351414,38.306599956961435
airport,2023-12-27,5514,15.824033369604614,61.99099746100826
manhattan,2023-12-27,67011,2.3885390458283067,16.377555326737287
other,2023-12-27,5801,8.144616445440418,37.69983968281325
airport,2023-12-28,5554,15.91523586604247,62.28728844076341
manhattan,2023-12-28,70683,2.392054242179871,16.548793203457542
other,2023-12-28,5268,8.315603644646918,38.759650721336364
airport,2023-12-29,5295,15.943769593956565,62.12226817752593
manhattan,2023-12-29,72534,2.442667162985628,16.378930156891887
other,2023-12-29,5219,8.060408124161718,37.44597049243149
airport,2023-12-30,5250,16.087110476190453,62.03915238095219
manhattan,2023-12-30,69903,2.5032992861536543,16.161455159292235
other,2023-12-30,4204,8.233820171265483,37.41617269267366
airport,2023-12-31,4797,15.708196789660226,60.0011528038356
manhattan,2023-12-31,64403,2.4352559663369764,14.9551836094592
other,2023-12-31,4616,7.395710571923743,33.727179376083136
airport,2024-01-01,5090,15.937628683693516,61.212557956777935
manhattan,2024-01-01,66289,2.8007781079817287,17.408932703766826
other,2024-01-01,6177,7.059810587663913,34.63034158976858
airport,2024-01-02,6064,16.075874010554106,62.39888357519787
manhattan,2024-01-02,61412,2.505507555526582,15.3974949521266
other,2024-01-02,5269,8.377992028847975,37.37822926551527
airport,2024-01-03,5614,15.904542215888894,61.34921090131819
manhattan,2024-01-03,68953,2.3694673183182564,14.911620959204171
other,2024-01-03,5028,8.44378878281623,38.01317024661895
airport,2024-01-04,4962,15.430346634421614,60.19000403063281
manhattan,2024-01-04,90071,2.3417898102607992,15.155352111112379
other,2024-01-04,4818,8.330491905354911,37.60787463677875
airport,2024-01-05,4420,15.555755656108584,60.68600226244351
manhattan,2024-01-05,91192,2.312060158785845,14.849683524870526
other,2024-01-05,4379,8.174121945649695,37.486042475450986
airport,2024-01-06,4303,15.60997211247968,60.40281663955374
