origin_zone_id,destination_zone_id,trips,avg_distance,avg_total_amount
237,236,67912,1.1008811402992122,16.319109730239294
236,237,59469,1.0798801056012384,16.60506684154782
237,237,33442,0.7853800610011332,14.905452425094078
236,236,31525,0.7900580491673227,14.02365297383015
161,237,30966,1.0957172382613174,17.956428017825996
237,161,28374,1.073632198491576,18.043814759991545
161,236,27325,1.9399381518755727,22.65915498627631
142,239,26157,1.0353725580150615,15.31925641319711
239,142,24298,0.9239748127417883,14.945276565972373
239,238,23652,0.8846270928462701,14.12254439370864
237,162,23434,1.027897072629512,17.288587522403272
236,161,22224,1.9167472102231822,22.72314344852413
141,236,22220,1.1345405040504049,16.532303780377923
132,230,21718,18.13642462473524,93.73102311446878
186,230,21211,1.0669322521333264,21.596145396256667
236,239,21125,1.4430281656804733,17.75446769230759
142,238,21014,1.5034933853621393,17.482033882173717
236,141,20119,1.139969183359013,16.978060042745557
142,237,20095,1.340438915153023,17.907934312017833
138,230,19704,10.393808871295162,80.83499137231007
