pickup_hour,zone_id,trips,hour_of_week,mean,std,z
2024-01-01 03:00:00,79,470,3,13.5,2.1213203435596424,215.19616374110598
2024-01-01 03:00:00,107,227,3,5.125,1.0532687216470449,210.65374432940897
2024-01-01 03:00:00,114,171,3,3.5,1.118033988749895,149.8165544924859
2024-01-01 03:00:00,263,129,3,5.0,1.0,124.0
2024-01-01 02:00:00,137,146,2,3.25,1.1989578808281798,119.0617304265897
2024-01-01 03:00:00,144,115,3,2.4285714285714284,1.049781318335648,107.233217628508
2024-01-01 03:00:00,234,120,3,3.625,1.1110243021644486,104.74568357621283
2024-01-01 02:00:00,164,183,2,8.25,1.713913650100261,101.9596290570283
2024-01-01 01:00:00,231,159,1,2.875,1.5360257159305635,101.64217850051782
2024-01-01 02:00:00,170,224,2,4.5,2.179449471770337,100.71350716917661
2024-01-01 02:00:00,142,139,2,3.4285714285714284,1.3997084244475304,96.85690691255151
2024-01-01 03:00:00,148,278,3,3.75,2.8613807855648994,95.84533501571586
2024-01-01 02:00:00,107,304,2,7.75,3.112474899497183,95.18149047494612
2024-01-01 03:00:00,231,96,3,2.0,1.0,94.0
2024-01-01 04:00:00,148,163,4,3.125,1.7633419974582356,90.66590612056616
2024-01-01 02:00:00,79,464,2,14.625,5.12195031213697,87.73513459026756
2024-01-01 02:00:00,234,165,2,4.5,1.8708286933869707,85.79085865388822
2024-01-01 01:00:00,143,92,1,2.0,1.0690449676496976,84.18729120241368
2024-01-01 02:00:00,237,113,2,2.1666666666666665,1.3437096247164249,82.48309850182362
2024-01-01 02:00:00,239,149,2,3.0,1.7728105208558367,82.35510692339386
2024-01-01 01:00:00,170,259,1,10.75,3.072051431861127,80.80919395597613
2024-01-01 01:00:00,263,279,1,9.625,3.42554740151118,78.63706684694108
2024-01-01 03:00:00,113,106,3,2.875,1.3635890143294642,75.62762600482743
2024-01-01 01:00:00,79,383,1,26.125,4.807221130757353,74.23727560953208
2024-01-01 01:00:00,239,265,1,6.375,3.4977671449083054,73.94002781931326
2024-01-01 00:00:00,43,159,0,3.857142857142857,2.166535841157586,71.60871941078247
2024-01-01 01:00:00,237,248,1,5.625,3.42554740151118,70.75511490311776
2024-01-01 02:00:00,238,81,2,2.142857142857143,1.1248582677159729,70.10407010410516
2024-01-01 04:00:00,79,289,4,14.0,4.092676385936225,67.19319439596786
2024-01-01 01:00:00,229,196,1,9.5,2.7838821814150108,66.99277765598704
2024-01-01 03:00:00,170,127,3,3.25,1.8540496217739157,66.74578638386096
2024-01-01 02:00:00,263,199,2,5.875,3.0998991919093113,62.300413027640786
2024-01-01 02:00:00,141,156,2,5.25,2.436698586202241,61.8664946307348
2024-01-01 02:00:00,229,142,2,5.0,2.23606797749979,61.268262583494234
2024-01-01 01:00:00,43,87,1,2.5714285714285716,1.3997084244475304,60.31868491603576
2024-01-01 03:00:00,48,250,3,20.75,3.832427429188973,59.81848429900065
2024-01-01 03:00:00,164,141,3,5.625,2.2878756522153907,59.17061089789298
2024-01-01 01:00:00,107,260,1,10.875,4.3714271125114275,56.98939810456436
2024-01-01 04:00:00,114,71,4,2.625,1.2183492931011204,56.121015859057934
2024-01-01 02:00:00,233,68,2,2.8,1.16619037896906,55.90853875645789
2024-01-01 04:00:00,107,118,4,5.0,2.0615528128088303,54.81305125821125
2024-01-01 03:00:00,90,143,3,7.428571428571429,2.498979383505129,54.250719100080296
2024-01-01 01:00:00,141,262,1,10.875,4.675401052316261,53.71196977328589
2024-01-01 02:00:00,236,55,2,3.0,1.0,52.0
2024-01-01 02:00:00,148,238,2,6.625,4.498263553861645,51.43651483056622
2024-01-01 04:00:00,90,108,4,6.0,2.0615528128088303,49.47726750741192
2024-01-01 03:00:00,249,204,3,12.75,3.897114317029974,49.074772881118186
2024-01-01 01:00:00,41,59,1,1.8,1.1661903789690602,49.04859535075752
2024-01-01 02:00:00,144,108,2,3.125,2.1469455046647083,48.84846856715093
2024-01-01 01:00:00,90,126,1,12.125,2.368411915187052,48.08074105259954
