method,mae,rmse,mape,coverage,n_forecasts,holdout_hours
seasonal_naive_168,2.9391483516483516,10.20279041411869,54.60268394065376,1.0,43680,168
seasonal_naive_24,5.001717032967033,20.288592651000755,84.6964112264353,1.0,43680,168
ewm_12,9.864432223823787,30.832386477987704,226.85576809466795,1.0,43680,168
moving_average_24,9.821336996336997,30.873937927713417,227.69739487455504,1.0,43680,168
ewm_24,9.972598739392064,31.247529550542406,230.64513488985295,1.0,43680,168
moving_average_168,9.92677467621664,31.42802548816763,230.1774650766688,1.0,43680,168
