pickup_hour,zone_id,trips,robust_z,ewma_z,robust_flag,ewma_flag,votes,severity
2024-01-01 03:00:00,79,470,154.121138540402,5.906116524535857,True,True,2,154.121138540402
2024-01-01 03:00:00,107,227,149.73694860380414,3.51822083329853,True,True,2,149.73694860380414
2024-01-01 01:00:00,238,192,126.8042627815999,3.0045517535671222,True,True,2,126.8042627815999
2024-01-01 03:00:00,114,171,113.31444759206799,3.116031693100896,True,True,2,113.31444759206799
2024-01-01 01:00:00,231,159,105.22055847834885,5.404009164216245,True,True,2,105.22055847834885
2024-01-01 00:00:00,229,163,101.84810468096587,3.0080511594385797,True,True,2,101.84810468096587
2024-01-01 02:00:00,231,150,99.48738702279779,4.500692207411318,True,True,2,99.48738702279779
2024-01-01 02:00:00,148,238,78.4095507891542,6.16328111779167,True,True,2,78.4095507891542
2024-01-01 02:00:00,79,464,76.04883313098611,6.670485319469444,True,True,2,76.04883313098611
2024-01-01 03:00:00,148,278,73.78928908673952,6.606135426494274,True,True,2,73.78928908673952
2024-01-01 02:00:00,107,304,66.77458518818293,6.068955687398678,True,True,2,66.77458518818293
2024-01-01 02:00:00,137,146,63.626961643958815,5.276209004177092,True,True,2,63.626961643958815
2024-01-01 00:00:00,148,175,53.28476999865102,4.86074585611136,True,True,2,53.28476999865102
2024-01-01 01:00:00,79,383,48.29353837852422,5.793991665683104,True,True,2,48.29353837852422
2024-01-01 01:00:00,50,108,46.989522910202794,5.756020851217513,True,True,2,46.989522910202794
2024-01-01 01:00:00,263,279,45.19088088493188,5.101911746246386,True,True,2,45.19088088493188
2024-01-01 01:00:00,141,262,42.492917847025495,3.55692039920201,True,True,2,42.492917847025495
2024-01-01 01:00:00,107,260,42.155672467287204,5.419716541719101,True,True,2,42.155672467287204
2024-01-01 01:00:00,229,196,41.8184270875489,3.8140017208884855,True,True,2,41.8184270875489
2024-01-01 02:00:00,50,96,41.8184270875489,4.3466858212804675,True,True,2,41.8184270875489
2024-01-01 01:00:00,137,128,41.481181707810606,4.789756598754099,True,True,2,41.481181707810606
2024-01-01 03:00:00,90,143,36.69229731552678,3.01628141794286,True,True,2,36.69229731552678
2024-01-01 02:00:00,232,51,33.050047214353164,4.840434288562193,True,True,2,33.050047214353164
2024-01-09 08:00:00,226,52,30.352084176446784,13.000309698170655,True,True,2,30.352084176446784
2024-01-01 02:00:00,90,139,29.22793291065246,3.0174221871278797,True,True,2,29.22793291065246
2023-12-15 06:00:00,226,46,28.328611898016998,16.858274085853733,True,True,2,28.328611898016998
2024-01-01 00:00:00,107,177,26.97963037906381,3.219137784919258,True,True,2,26.97963037906381
2023-11-04 00:00:00,181,41,26.305139619587212,19.91404405890095,True,True,2,26.305139619587212
2024-01-01 01:00:00,74,40,25.630648860110618,4.983378190372046,True,True,2,25.630648860110618
2023-12-15 00:00:00,181,39,24.281667341157426,7.962391162925389,True,True,2,24.281667341157426
2024-01-01 00:00:00,125,40,24.281667341157426,3.5003026182811405,True,True,2,24.281667341157426
2023-11-26 07:00:00,50,75,23.607176581680832,4.186725515181195,True,True,2,23.607176581680832
2023-11-01 01:00:00,246,96,22.6628895184136,6.319652769643323,True,True,2,22.6628895184136
2024-01-04 16:00:00,166,103,20.909213543774452,8.10655391767918,True,True,2,20.909213543774452
2024-01-09 07:00:00,226,36,20.909213543774452,12.293285706956553,True,True,2,20.909213543774452
2023-12-14 00:00:00,181,32,20.234722784297855,11.067726800903008,True,True,2,20.234722784297855
2023-12-14 23:00:00,181,32,20.234722784297855,7.581037283639329,True,True,2,20.234722784297855
2024-01-01 00:00:00,263,223,20.138366961515484,3.9052311154253814,True,True,2,20.138366961515484
2024-01-01 01:00:00,148,166,17.76158999955034,4.129375740460014,True,True,2,17.76158999955034
2023-12-31 22:00:00,244,28,17.536759746391475,10.821481301257688,True,True,2,17.536759746391475
2023-12-31 21:00:00,75,62,17.19951436665318,3.5091605685325264,True,True,2,17.19951436665318
2024-01-01 00:00:00,90,149,17.13206529070552,3.7481207854610257,True,True,2,17.13206529070552
2023-12-31 22:00:00,74,29,16.86226898691488,3.4465532949441626,True,True,2,16.86226898691488
2024-01-01 00:00:00,79,342,16.69364629704573,5.542375660018421,True,True,2,16.69364629704573
2023-11-30 23:00:00,255,20,5.395926075812762,16.330710810111565,True,True,2,16.330710810111565
2023-12-15 00:00:00,97,26,16.187778227438287,7.618434408461911,True,True,2,16.187778227438287
2023-12-20 00:00:00,97,26,16.187778227438287,6.6898281297108975,True,True,2,16.187778227438287
2024-01-01 01:00:00,42,26,16.187778227438287,5.969912170788255,True,True,2,16.187778227438287
2024-01-04 16:00:00,152,29,15.513287467961689,10.59463981219553,True,True,2,15.513287467961689
2023-12-15 05:00:00,226,24,14.838796708485095,11.078271777211752,True,True,2,14.838796708485095
2023-12-31 23:00:00,42,24,14.838796708485095,6.227180661606517,True,True,2,14.838796708485095
2024-01-01 00:00:00,4,24,14.838796708485095,5.401262913267535,True,True,2,14.838796708485095
2024-01-01 00:00:00,41,35,14.61396645532623,3.2776892093210837,True,True,2,14.61396645532623
2023-12-31 21:00:00,166,53,14.164305949008499,4.714629645518695,True,True,2,14.164305949008499
2024-01-01 01:00:00,125,45,14.164305949008499,3.9405445163690977,True,True,2,14.164305949008499
2024-01-01 00:00:00,50,69,13.939475695849634,3.1147201951499044,True,True,2,13.939475695849634
2023-12-14 22:00:00,255,24,13.489815189531905,4.687419959542476,True,True,2,13.489815189531905
2023-12-18 07:00:00,7,22,13.489815189531905,9.091258910787062,True,True,2,13.489815189531905
2024-01-01 02:00:00,4,32,13.264984936373038,6.16265916886154,True,True,2,13.264984936373038
2023-12-10 00:00:00,145,21,12.815324430055309,7.528772988863968,True,True,2,12.815324430055309
2023-11-13 09:00:00,195,16,6.070416835289357,12.796250362433277,True,True,2,12.796250362433277
2023-12-27 14:00:00,232,35,12.590494176896444,6.385843439089872,True,True,2,12.590494176896444
2023-11-01 09:00:00,145,13,5.395926075812762,12.55736166816115,True,True,2,12.55736166816115
2023-11-26 11:00:00,195,20,12.140833670578713,7.437296000978506,True,True,2,12.140833670578713
2023-12-16 00:00:00,181,20,12.140833670578713,3.087213839671646,True,True,2,12.140833670578713
2024-01-01 06:00:00,7,20,11.803588290840416,4.917599192086265,True,True,2,11.803588290840416
2023-12-10 04:00:00,36,13,7.4193983542425475,11.76317686233436,True,True,2,11.76317686233436
2023-11-05 14:00:00,74,48,11.46634291110212,4.422235415410843,True,True,2,11.46634291110212
2023-12-14 23:00:00,255,38,11.46634291110212,7.046242117764731,True,True,2,11.46634291110212
2023-12-14 23:00:00,256,20,11.46634291110212,5.4801342749994415,True,True,2,11.46634291110212
2023-12-17 01:00:00,25,20,11.46634291110212,5.592122898693515,True,True,2,11.46634291110212
2024-01-04 15:00:00,152,21,11.46634291110212,9.377905584926863,True,True,2,11.46634291110212
2024-01-01 00:00:00,114,181,11.29772022123297,3.731396167595778,True,True,2,11.29772022123297
2023-12-08 23:00:00,112,14,7.4193983542425475,11.081093999257105,True,True,2,11.081093999257105
2024-01-12 23:00:00,256,13,3.822114303700706,11.070134038835043,True,True,2,11.070134038835043
2023-12-21 18:00:00,42,19,10.791852151625523,3.2346853772591038,True,True,2,10.791852151625523
2023-11-13 11:00:00,70,85,10.623229461756374,3.6936481810473674,True,True,2,10.623229461756374
2024-01-28 10:00:00,75,80,10.567021898466658,3.2307795828384815,True,True,2,10.567021898466658
2024-01-01 02:00:00,125,45,10.387157695939566,3.6886750833206032,True,True,2,10.387157695939566
2023-12-10 00:00:00,116,20,10.117361392148927,5.390985002358981,True,True,2,10.117361392148927
2023-12-14 23:00:00,33,17,10.117361392148927,3.8603003071129267,True,True,2,10.117361392148927
2023-12-31 23:00:00,244,17,10.117361392148927,4.466853514382348,True,True,2,10.117361392148927
2024-01-01 05:00:00,80,17,10.117361392148927,5.951847077067806,True,True,2,10.117361392148927
2024-01-10 07:00:00,42,24,10.117361392148927,5.65982669703997,True,True,2,10.117361392148927
2024-01-09 08:00:00,260,13,7.4193983542425475,9.993070845944146,True,True,2,9.993070845944146
2023-12-12 19:00:00,146,16,9.442870632672333,8.861082474490635,True,True,2,9.442870632672333
2023-12-17 01:00:00,97,18,9.442870632672333,4.372776588470949,True,True,2,9.442870632672333
2023-12-27 13:00:00,12,16,9.442870632672333,5.115101340721906,True,True,2,9.442870632672333
